rotation,f_hour,max_csi,avg_csi,min_csi,max_pod,avg_pod,min_pod,max_sr,avg_sr,min_sr
1,f000,0.3427794,0.19088413,0.0,0.86468196,0.31947178,0.0,0.8,0.5775081,0.3064394
1,f024,0.3452305,0.19891858,0.0,0.9134613,0.35221457,0.0,1.0,0.57061505,0.27684233
1,f048,0.33189404,0.18464799,0.0,0.9127329,0.33484286,0.0,0.77009344,0.5380058,0.26572403
1,f072,0.3250864,0.17972383,0.0,0.88110626,0.31637493,0.0,0.7606806,0.5526505,0.2779639
1,f096,0.3037726,0.140017,0.0,0.9014427,0.26527172,0.0,0.8333333,0.5335373,0.26119444
1,f120,0.30050293,0.14466324,0.0,0.89254916,0.28573567,0.0,0.69807565,0.48772678,0.24496824
1,f144,0.28382134,0.12265712,0.0,0.9282173,0.25882775,0.0,0.8333333,0.4943311,0.23034202
1,f168,0.27084106,0.11452278,0.0,0.9535821,0.2644611,0.0,0.6693227,0.46105522,0.21833877
1,f192,0.26741365,0.11010156,0.0,0.9693367,0.2709321,0.0,0.5786695,0.40898368,0.2046172
