rotation,f_hour,max_csi,avg_csi,min_csi,max_pod,avg_pod,min_pod,max_sr,avg_sr,min_sr
0,f000,0.34670994,0.17450249,0.0,0.930483,0.32227972,0.0,0.88611114,0.5433847,0.26618713
1,f000,0.3287888,0.13875972,0.0,0.82483894,0.21308467,0.0,1.0,0.66962725,0.32782012
2,f000,0.30334222,0.15295854,0.0,0.8587874,0.28125745,0.0,0.66870916,0.49155885,0.27930862
0,f024,0.362341,0.19954476,0.0,0.94403917,0.3753135,0.0,0.8207993,0.5523831,0.26593852
1,f024,0.31626278,0.12380266,0.0,0.85323054,0.21075591,0.0,0.75892496,0.5319174,0.29335272
2,f024,0.32202077,0.1648335,0.0,0.8920615,0.30920723,0.0,1.0,0.5326664,0.26685444
0,f048,0.3106919,0.12878194,0.0,0.8901236,0.24636273,0.0,0.64788735,0.47866043,0.2622958
1,f048,0.32316732,0.12986904,0.0,0.80774605,0.20368955,0.0,1.0,0.6713609,0.32720697
2,f048,0.30594474,0.13003728,0.0,0.7726175,0.2137043,0.0,0.76834863,0.53713953,0.31913656
0,f072,0.3327242,0.18837145,0.0,0.96803594,0.41678706,0.0,0.83653843,0.4814759,0.22852263
1,f072,0.32378522,0.11962098,0.0,0.7879265,0.18614334,0.0,1.0,0.6325706,0.3341476
2,f072,0.26129583,0.119821824,0.0,0.9214431,0.26839504,0.0,0.99206346,0.44134274,0.21806213
0,f096,0.3069447,0.14720139,0.0,0.9343774,0.30843693,0.0,0.9322034,0.51337886,0.2457831
1,f096,0.32009742,0.14677326,0.0,0.90884924,0.2655986,0.0,0.89008045,0.5737344,0.27515942
2,f096,0.2716953,0.1334554,0.0,0.9191624,0.28465557,0.0,0.8888889,0.4582896,0.2370165
0,f120,0.29571843,0.15502732,0.0,0.93890804,0.34307864,0.0,0.9318182,0.46152693,0.23342794
1,f120,0.3042495,0.124584004,0.0,0.8394949,0.21266547,0.0,0.8611111,0.5902296,0.29225245
2,f120,0.23294817,0.08881261,0.0,0.7752359,0.18499449,0.0,0.9851852,0.48287734,0.23947354
0,f144,0.22978352,0.074466504,0.0,0.96569335,0.20630541,0.0,0.2822087,0.25494626,0.19713101
1,f144,0.27846563,0.094048664,0.0,0.8386144,0.17641787,0.0,0.9787234,0.61330414,0.26939416
2,f144,0.22126381,0.07774782,0.0,0.679459,0.15033127,0.0,0.71428573,0.37307745,0.24468043
0,f168,0.23935021,0.066559136,0.0,0.89665794,0.1611012,0.0,1.0,0.4108035,0.22917965
1,f168,0.2816881,0.12791389,0.0,0.9601393,0.2829159,0.0,0.8305085,0.5070536,0.22929823
2,f168,0.23223831,0.07965312,0.0,0.7763826,0.16864668,0.0,0.5714286,0.37164307,0.17391305
0,f192,0.23887733,0.09681991,0.0,0.8631777,0.2204853,0.0,0.77397263,0.44787,0.23381403
1,f192,0.26021525,0.1263881,0.0,0.9215226,0.26843008,0.0,0.81461185,0.48707092,0.23848678
2,f192,0.22900899,0.10035505,0.0,0.8826775,0.23131926,0.0,1.0,0.49479654,0.21840145
